title,year,mileage,price,location,transmission,enginePower,color,model,engineCapacity,fuelType,painted,changed,paintedCount,changedCount
Sahibinden Honda Civic 1.4 i S 2001 Model,2001,284.000,450.000 TL,"Kocaeli, İzmit",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk; Arka Tampon","Sağ Arka Kapı; Ön Tampon",11,2
Sahibinden Honda Civic 1.4 i S 1997 Model,1997,360.000,380.000 TL,"Tokat, Yeşilyurt",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 2000 Model,2000,280.000,390.000 TL,"Afyonkarahisar, Merkez",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,,"Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",0,3
"SAFKAN BENZİNLİ, MANUEL, BAKIMLI",1996,314.000,280.000 TL,"İzmir, Buca",Düz,90 hp,Lacivert,1.4 i S,1396 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,286.000,325.000 TL,"Ankara, Keçiören",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sol Ön Çamurluk; Ön Tampon","Sağ Ön Çamurluk; Motor Kaputu",9,2
Sahibinden Honda Civic 1.4 S 1997 Model,1997,318.888,220.000 TL,"Gaziantep, Şahinbey",Düz,90 hp,Gri,1.4 S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",,8,0
BALIKESİR OTOMOTİV'DEN HONDA CIVIC 1.4IS ROKET PAKET,1998,261.000,315.000 TL,"Balıkesir, Altıeylül",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1997 Model,1997,500.000,200.000 TL,"Uşak, Merkez",Düz,90 hp,Beyaz,1.4 i S,1396 cc,LPG & Benzin,,,0,0
İKİNCİ SAHİBİNDEN ORJİNAL Y-56 SARI CİVİC,1999,233.000,499.500 TL,"Ankara, Keçiören",Otomatik,76 - 100 HP,Sarı,1.4 i S,1201 - 1400 cm3,Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 2000 Model,2000,330.000,295.000 TL,"Samsun, Tekkeköy",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,,"Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",0,3
BENZİNLİ HONDA İLK GÜNKÜ GİBİ  (LPG HİÇ TAKILMAMIŞTIR.),1999,331.000,381.000 TL,"Antalya, Alanya",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,Benzin,"Sağ Arka Çamurluk; Sağ Ön Kapı; Sağ Ön Çamurluk",,3,0
